ticker,n_features,feature_set,train_acc,test_acc,overfit_gap,train_f1,test_f1,features
BABA,5,5,0.9754098360655737,0.5483870967741935,0.42702273929138024,0.9790209790209791,0.5333333333333333,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
BABA,10,10,1.0,0.4838709677419355,0.5161290322580645,1.0,0.42857142857142855,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
BABA,15,15,0.9836065573770492,0.5483870967741935,0.43521946060285566,0.9855072463768116,0.5333333333333333,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
BABA,20,20,0.9836065573770492,0.6451612903225806,0.33844526705446853,0.9857142857142858,0.7027027027027027,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
BABA,25,25,0.9836065573770492,0.7419354838709677,0.2416710735060814,0.9855072463768116,0.8095238095238095,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
BABA,41,ALL,0.9672131147540983,0.6451612903225806,0.3220518244315177,0.9714285714285714,0.7659574468085106,"['SMA_10', 'SMA_20', 'SMA_50', 'RSI', 'MACD']"
QCOM,5,5,0.9895833333333334,0.6666666666666666,0.32291666666666674,0.991304347826087,0.7333333333333333,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
QCOM,10,10,1.0,0.6666666666666666,0.33333333333333337,1.0,0.7333333333333333,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
QCOM,15,15,1.0,0.625,0.375,1.0,0.7428571428571429,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
QCOM,20,20,1.0,0.6666666666666666,0.33333333333333337,1.0,0.75,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
QCOM,25,25,1.0,0.5833333333333334,0.41666666666666663,1.0,0.7058823529411765,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
QCOM,41,ALL,0.9895833333333334,0.5833333333333334,0.40625,0.991304347826087,0.7222222222222222,"['SMA_10', 'SMA_20', 'SMA_50', 'RSI', 'MACD']"
NVDA,5,5,1.0,0.41379310344827586,0.5862068965517242,1.0,0.41379310344827586,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
NVDA,10,10,1.0,0.5862068965517241,0.4137931034482759,1.0,0.6,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
NVDA,15,15,1.0,0.4827586206896552,0.5172413793103448,1.0,0.4,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
NVDA,20,20,1.0,0.4827586206896552,0.5172413793103448,1.0,0.4827586206896552,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
NVDA,25,25,1.0,0.6896551724137931,0.31034482758620685,1.0,0.6086956521739131,"['avg_sentiment_compound', 'HL_spread', 'Price_change', 'SMA_50', 'Volume_change']"
NVDA,41,ALL,0.9913793103448276,0.4482758620689655,0.5431034482758621,0.9908256880733946,0.2727272727272727,"['SMA_10', 'SMA_20', 'SMA_50', 'RSI', 'MACD']"
